spectrometer_90_70nm_einzel_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:40:41
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
561.719	13057.451
561.847	13127.529
561.975	13042.353
562.103	13163.078
562.231	13077.137
562.359	13023.275
562.488	13106.490
562.616	13074.314
562.744	13127.765
562.872	13078.000
563.000	13009.667
563.128	13056.529
563.256	13054.098
563.384	13170.255
563.513	13015.275
563.641	13055.824
563.769	13108.549
563.897	13060.020
564.025	13088.176
564.153	13064.941
564.281	13198.745
564.409	13043.098
564.538	13026.118
564.666	13107.373
564.794	13181.588
564.922	13137.255
565.050	13233.333
565.178	13147.333
565.306	13222.529
565.434	13270.176
565.563	13380.020
565.691	13293.235
565.819	13502.843
565.947	13330.922
566.075	13424.706
566.203	13461.765
566.331	13398.412
566.459	14288.137
566.588	13456.157
566.716	13476.059
566.844	13518.686
566.972	13679.902
567.100	13705.549
567.228	13782.294
567.356	13828.255
567.484	13714.745
567.613	13820.510
567.741	13850.882
567.869	13866.431
567.997	13896.196
568.125	14054.980
568.253	14104.039
568.381	14082.098
568.509	14096.059
568.638	14125.039
568.766	14164.157
568.894	14163.843
569.022	14177.569
569.150	14264.804
569.278	14210.686
569.406	14358.980
569.534	14362.078
569.663	14292.529
569.791	14365.373
569.919	14385.255
570.047	14556.235
570.175	14343.294
570.303	14400.392
570.431	14380.314
570.559	14528.510
570.688	14569.235
570.816	14426.843
570.944	14517.353
571.072	14484.059
571.200	14433.902
571.328	14513.510
571.456	14576.078
571.584	14536.882
571.713	14524.745
571.841	14540.627
571.969	14683.725
572.097	14648.157
572.225	14453.569
572.353	14492.098
572.481	14457.000
572.609	14483.275
572.738	14445.039
572.866	14434.784
572.994	14415.353
573.122	14396.765
573.250	14403.863
573.378	14328.627
573.506	14351.333
573.634	14413.078
573.763	14300.902
573.891	14333.078
574.019	14388.882
574.147	14269.529
574.275	14327.490
574.403	14337.902
574.531	14252.137
574.659	14245.118
574.788	14268.275
574.916	14331.843
575.044	14216.667
575.172	14186.902
575.300	14133.510
575.428	14097.020
575.556	14118.529
575.684	14104.118
575.813	14040.118
575.941	14049.961
576.069	13945.490
576.197	14027.078
576.325	13947.647
576.453	13954.176
576.581	13954.275
576.709	13928.137
576.838	13931.922
576.966	14020.549
577.094	14147.098
577.222	14023.020
577.350	13910.608
577.478	14007.529
577.606	13985.667
577.734	14006.216
577.863	14070.980
577.991	14110.098
578.119	14190.745
578.247	14146.059
578.375	14250.980
578.503	14135.725
578.631	14232.098
578.759	14285.353
578.888	14380.039
579.016	14236.353
579.144	14287.961
579.272	14346.510
579.400	14354.373
579.528	14413.784
579.656	14494.510
579.784	14396.725
579.913	14474.078
580.041	14664.235
580.169	14572.431
580.297	14587.294
580.425	14601.490
580.553	14615.608
580.681	14655.392
580.809	14665.059
580.938	14734.706
581.066	14811.392
581.194	14774.608
581.322	14755.392
581.450	14825.392
581.578	14846.412
581.706	14827.235
581.834	14866.216
581.963	14857.098
582.091	14849.235
582.219	14849.039
582.347	14903.490
582.475	14920.510
582.603	14956.176
582.731	15028.078
582.859	15006.765
582.988	15053.667
583.116	15047.549
583.244	15053.235
583.372	15096.098
583.500	15123.412
583.628	15233.667
583.756	15158.784
583.884	15166.961
584.013	15264.137
584.141	15183.843
584.269	15233.804
584.397	15284.843
584.525	15276.569
584.653	15230.549
584.781	15285.706
584.909	15290.980
585.038	15304.863
585.166	15270.333
585.294	15371.314
585.422	15390.824
585.550	15348.137
585.678	15339.255
585.806	15387.569
585.934	15390.627
586.063	15434.471
586.191	15432.373
586.319	15456.255
586.447	15426.392
586.575	15410.039
586.703	15472.039
586.831	15470.039
586.959	15475.765
587.088	15413.686
587.216	15496.353
587.344	15454.235
587.472	15607.020
587.600	15451.843
587.728	15442.608
587.856	15430.255
587.984	15459.510
588.113	15538.647
588.241	15500.137
588.369	15520.667
588.497	15473.529
588.625	15455.059
588.753	15685.510
588.881	15495.078
589.009	15522.627
589.138	15548.784
589.266	15496.569
589.394	15542.902
589.522	15527.490
589.650	15680.529
589.778	15626.196
589.906	15672.118
590.034	15600.882
590.163	15610.922
590.291	15692.784
590.419	15639.902
590.547	15715.196
590.675	15683.392
590.803	15716.275
590.931	15717.059
591.059	15714.255
591.188	15686.471
591.316	15707.980
591.444	15654.157
591.572	15836.667
591.700	15787.922
591.828	15731.608
591.956	15794.000
592.084	15781.725
592.213	15815.569
592.341	15759.471
592.469	15839.275
592.597	15840.196
592.725	15746.627
592.853	15800.137
592.981	15819.686
593.109	15825.294
593.238	15725.176
593.366	15736.392
593.494	15758.431
593.622	15721.843
593.750	15750.020
593.878	15822.902
594.006	15721.431
594.134	15725.863
594.263	15788.863
594.391	15700.627
594.519	15710.725
594.647	15693.843
594.775	15651.922
594.903	15646.863
595.031	15693.843
595.159	15730.314
595.288	15652.529
595.416	15672.176
595.544	15660.804
595.672	15578.588
595.800	15716.922
595.928	15614.863
596.056	15647.333
596.184	15582.745
596.313	15672.588
596.441	15580.843
596.569	15644.980
596.697	15525.941
596.825	15519.333
596.953	15506.745
597.081	15499.392
597.209	15459.020
597.338	15500.647
597.466	15466.216
597.594	15441.980
597.722	15610.588
597.850	15447.725
597.978	15487.824
598.106	15572.235
598.234	15613.784
598.363	15488.255
598.491	15668.882
598.619	15557.686
