spectrometer_90_referenz_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:30:13
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
550.188	12310.471
550.316	12387.549
550.444	12417.255
550.572	12512.000
550.700	12535.961
550.828	12670.078
550.956	12667.000
551.084	12793.549
551.213	12727.216
551.341	12825.706
551.469	12818.647
551.597	12895.882
551.725	12893.314
551.853	12914.078
551.981	12931.157
552.109	12909.941
552.238	13039.216
552.366	12971.588
552.494	12928.745
552.622	12957.980
552.750	13005.784
552.878	13028.431
553.006	13085.608
553.134	13070.608
553.263	13027.549
553.391	13079.157
553.519	13237.275
553.647	13101.176
553.775	13094.863
553.903	13220.216
554.031	13160.745
554.159	13157.000
554.288	13237.706
554.416	13198.294
554.544	13248.804
554.672	13219.431
554.800	13209.275
554.928	13152.275
555.056	13168.000
555.184	13172.980
555.313	13166.902
555.441	13161.000
555.569	13139.824
555.697	13211.196
555.825	13206.412
555.953	13222.745
556.081	13192.294
556.209	13253.078
556.338	13297.667
556.466	13444.118
556.594	13242.667
556.722	13314.235
556.850	13338.902
556.978	13187.059
557.106	13256.882
557.234	13259.863
557.363	13409.902
557.491	13345.373
557.619	13322.667
557.747	13378.333
557.875	13393.078
558.003	13434.667
558.131	13457.725
558.259	13424.588
558.388	13434.784
558.516	13483.941
558.644	13493.569
558.772	13592.882
558.900	13522.471
559.028	13514.863
559.156	13552.137
559.284	13514.333
559.413	13560.647
559.541	13607.294
559.669	13630.647
559.797	13699.667
559.925	13652.647
560.053	13788.725
560.181	13658.412
560.309	13771.902
560.438	13778.059
560.566	13794.078
560.694	13745.314
560.822	13968.176
560.950	13813.647
561.078	13820.706
561.206	14038.078
561.334	13827.255
561.463	13799.843
561.591	13931.020
561.719	13840.314
561.847	13856.490
561.975	13857.373
562.103	13870.824
562.231	13932.784
562.359	13819.020
562.488	13912.824
562.616	13920.863
562.744	13938.039
562.872	13930.706
563.000	13873.941
563.128	13863.490
563.256	13839.000
563.384	14007.137
563.513	13840.529
563.641	13889.118
563.769	13942.412
563.897	13834.882
564.025	13883.843
564.153	13920.745
564.281	14009.706
564.409	13907.569
564.538	13892.392
564.666	13981.314
564.794	14023.686
564.922	14022.627
565.050	14130.176
565.178	14043.098
565.306	14125.059
565.434	14129.980
565.563	14314.294
565.691	14156.392
565.819	14358.216
565.947	14190.804
566.075	14246.020
566.203	14316.000
566.331	14264.275
566.459	15154.843
566.588	14401.569
566.716	14404.706
566.844	14429.608
566.972	14537.980
567.100	14660.549
567.228	14685.745
567.356	14761.784
567.484	14729.373
567.613	14861.255
567.741	14865.059
567.869	14857.588
567.997	14858.627
568.125	15002.686
568.253	15074.588
568.381	15012.431
568.509	15074.471
568.638	15042.588
568.766	15183.549
568.894	15120.157
569.022	15195.784
569.150	15232.745
569.278	15220.686
569.406	15342.824
569.534	15363.725
