spectrometer_90_40nm_hybrid_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:50:02
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
560.438	12015.373
560.566	11978.843
560.694	11964.059
560.822	12174.196
560.950	12070.275
561.078	12122.588
561.206	12232.451
561.334	12068.118
561.463	12018.725
561.591	12120.314
561.719	12089.275
561.847	12095.902
561.975	12046.431
562.103	12096.510
562.231	12130.078
562.359	12102.431
562.488	12150.000
562.616	12116.098
562.744	12162.039
562.872	12158.686
563.000	12085.627
563.128	12118.961
563.256	12069.706
563.384	12249.627
563.513	12088.529
563.641	12149.647
563.769	12149.137
563.897	12152.431
564.025	12112.529
564.153	12107.686
564.281	12212.686
564.409	12131.922
564.538	12148.922
564.666	12204.765
564.794	12190.667
564.922	12182.549
565.050	12241.020
565.178	12208.020
565.306	12233.275
565.434	12269.569
565.563	12425.098
565.691	12327.471
565.819	12550.216
565.947	12360.451
566.075	12383.451
566.203	12462.137
566.331	12414.529
566.459	13305.667
566.588	12492.882
566.716	12566.451
566.844	12534.137
566.972	12672.471
567.100	12688.922
567.228	12772.843
567.356	12875.353
567.484	12803.176
567.613	12889.529
567.741	12874.333
567.869	12917.176
567.997	12943.706
568.125	13004.098
568.253	13132.020
568.381	13040.647
568.509	13154.902
568.638	13130.471
568.766	13197.020
568.894	13171.608
569.022	13148.275
569.150	13245.804
569.278	13192.255
569.406	13365.471
569.534	13317.353
569.663	13290.431
569.791	13309.098
569.919	13378.529
570.047	13538.353
570.175	13394.255
570.303	13425.314
570.431	13401.863
570.559	13448.235
570.688	13584.412
570.816	13448.059
570.944	13525.549
571.072	13515.176
571.200	13418.314
571.328	13438.667
571.456	13576.549
571.584	13508.882
571.713	13521.686
571.841	13618.039
571.969	13695.608
572.097	13706.451
572.225	13559.000
572.353	13466.196
572.481	13461.000
572.609	13534.098
572.738	13490.196
572.866	13471.373
572.994	13419.667
573.122	13487.255
573.250	13470.745
573.378	13406.020
573.506	13380.980
573.634	13454.588
573.763	13334.235
573.891	13360.922
574.019	13417.529
574.147	13383.843
574.275	13374.314
574.403	13384.902
574.531	13294.451
574.659	13279.725
574.788	13278.647
574.916	13370.275
575.044	13249.471
575.172	13184.706
575.300	13165.000
575.428	13163.137
575.556	13094.275
575.684	13148.490
575.813	13072.490
575.941	13134.510
576.069	13034.471
576.197	13144.510
576.325	13014.098
576.453	13049.373
576.581	13030.706
576.709	12999.314
576.838	13004.333
576.966	13116.510
577.094	13158.294
577.222	13050.569
577.350	13016.196
577.478	13063.235
577.606	13051.608
577.734	13123.843
577.863	13141.471
577.991	13190.314
578.119	13262.294
578.247	13230.490
578.375	13280.647
578.503	13232.922
578.631	13247.039
578.759	13306.314
578.888	13482.098
579.016	13287.137
579.144	13329.353
579.272	13372.490
579.400	13385.451
579.528	13452.902
579.656	13543.412
579.784	13495.157
579.913	13539.373
580.041	13727.667
580.169	13529.039
580.297	13607.431
580.425	13635.627
580.553	13706.314
580.681	13786.922
580.809	13755.314
580.938	13791.275
581.066	13890.137
581.194	13813.765
581.322	13808.353
581.450	13944.784
581.578	13864.392
581.706	13878.000
581.834	13912.235
581.963	13963.902
582.091	13977.765
582.219	14041.980
582.347	14036.020
582.475	13998.373
582.603	14045.294
582.731	14160.725
582.859	14053.039
582.988	14128.255
583.116	14159.706
583.244	14152.824
583.372	14187.412
583.500	14178.627
583.628	14268.471
583.756	14270.314
583.884	14227.490
584.013	14315.627
584.141	14290.961
584.269	14310.235
584.397	14398.039
584.525	14315.490
584.653	14366.804
584.781	14402.235
584.909	14444.020
585.038	14429.255
585.166	14410.333
585.294	14511.000
585.422	14488.490
585.550	14424.176
585.678	14440.078
585.806	14495.686
585.934	14487.451
586.063	14513.824
586.191	14505.980
586.319	14520.373
586.447	14491.157
586.575	14518.686
586.703	14599.098
586.831	14506.588
586.959	14596.471
587.088	14531.451
587.216	14516.176
587.344	14581.451
587.472	14748.922
587.600	14534.627
587.728	14507.961
587.856	14564.235
587.984	14571.902
588.113	14634.353
588.241	14640.569
588.369	14609.529
588.497	14608.412
588.625	14609.196
588.753	14745.020
588.881	14625.039
589.009	14630.314
589.138	14698.353
589.266	14679.549
589.394	14717.902
589.522	14752.804
589.650	14813.804
589.778	14773.373
589.906	14849.333
590.034	14768.000
590.163	14721.118
590.291	14829.686
590.419	14801.549
590.547	14898.549
590.675	14893.608
590.803	14915.941
590.931	14887.804
591.059	14870.804
591.188	14902.647
591.316	14822.784
591.444	14885.314
591.572	14985.078
591.700	14963.157
591.828	14949.765
591.956	15011.588
592.084	15016.196
592.213	15064.294
592.341	15000.118
592.469	15036.216
592.597	14979.922
592.725	14977.490
