spectrometer_wei?lichtspektrum_at_650.00nm_cut_at_1436.50Y_01.dat
02.05.2022
13:46:56
cut middle at Y: 1436.50
top cursor: 1494 down cursor: 1379 mean of: 115 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
577.094	14953.104
577.222	14886.896
577.350	14857.748
577.478	14941.765
577.606	14917.591
577.734	14937.226
577.863	14959.635
577.991	15021.817
578.119	15077.330
578.247	15024.087
578.375	15128.800
578.503	15108.270
578.631	15096.322
578.759	15182.730
578.888	15313.957
579.016	15146.574
579.144	15215.635
579.272	15203.530
579.400	15286.513
579.528	15322.826
579.656	15411.765
579.784	15323.557
579.913	15354.643
580.041	15581.122
580.169	15405.583
580.297	15516.696
580.425	15519.878
580.553	15553.052
580.681	15574.122
580.809	15577.104
580.938	15551.548
581.066	15688.061
581.194	15649.217
581.322	15671.817
581.450	15767.600
581.578	15734.235
581.706	15760.009
581.834	15802.348
581.963	15791.878
582.091	15794.748
582.219	15845.104
582.347	15882.087
582.475	15867.200
582.603	15873.139
582.731	15977.609
582.859	15909.583
582.988	15933.130
583.116	15992.696
583.244	15962.226
583.372	15983.730
583.500	15936.148
583.628	16043.383
583.756	16004.296
583.884	15972.852
584.013	16080.339
584.141	15991.243
584.269	16041.678
584.397	16077.730
584.525	16018.548
584.653	16065.678
584.781	16077.217
584.909	16043.148
585.038	16063.113
585.166	16057.270
585.294	16119.617
585.422	16078.530
585.550	16100.157
585.678	16029.487
585.806	16117.226
585.934	16037.939
586.063	16086.270
586.191	16048.130
586.319	16094.913
586.447	16058.591
586.575	16051.652
586.703	16115.748
586.831	16029.835
586.959	16144.661
587.088	16085.930
587.216	16079.591
587.344	16091.261
587.472	16260.817
587.600	16049.313
587.728	16084.835
587.856	16057.130
587.984	16068.791
588.113	16112.600
588.241	16046.652
588.369	16091.061
588.497	16079.122
588.625	16055.643
588.753	16218.235
588.881	16097.452
589.009	16091.478
589.138	16125.374
589.266	16102.687
589.394	16123.243
589.522	16126.348
589.650	16222.922
589.778	16168.843
589.906	16218.600
590.034	16121.878
590.163	16157.965
590.291	16243.113
590.419	16177.939
590.547	16244.383
590.675	16205.443
590.803	16197.435
590.931	16153.417
591.059	16136.200
591.188	16067.243
591.316	15981.904
591.444	15991.887
591.572	16022.000
591.700	15916.365
591.828	15894.174
591.956	15864.165
592.084	15812.043
592.213	15825.104
592.341	15779.974
592.469	15799.357
592.597	15816.365
592.725	15744.661
592.853	15750.496
592.981	15821.000
593.109	15814.565
593.238	15728.991
593.366	15739.626
593.494	15749.591
593.622	15830.522
593.750	15828.487
593.878	15926.513
594.006	15878.617
594.134	15937.209
594.263	15995.287
594.391	15910.739
594.519	15994.417
594.647	16031.930
594.775	16015.443
594.903	16089.426
595.031	16132.365
595.159	16189.617
595.288	16213.452
595.416	16199.991
595.544	16215.113
