spectrometer_dunkelfeld_100nm_einzel_at_650.00nm_cut_at_1436.50Y_01.dat
02.05.2022
13:22:18
cut middle at Y: 1436.50
top cursor: 1494 down cursor: 1379 mean of: 115 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
610.791	15757.852
610.919	15706.070
611.047	15828.530
611.175	15811.870
611.303	15930.809
611.431	15941.261
611.559	15997.991
611.688	16021.435
611.816	16057.226
611.944	16108.035
612.072	16165.565
612.200	16226.417
612.328	16372.417
612.456	16302.809
612.584	16569.000
612.713	16515.478
612.841	16559.122
612.969	16562.513
613.097	16642.078
613.225	16704.704
613.353	16775.000
613.481	16821.922
613.609	16888.339
613.738	16936.113
613.866	17052.287
613.994	17075.304
614.122	17199.157
614.250	17188.974
614.378	17321.861
614.506	17425.148
614.634	17537.843
614.763	17566.670
614.891	17684.261
615.019	17670.365
615.147	17746.652
615.275	17792.913
615.403	17855.243
615.531	17964.948
615.659	18024.800
615.788	18123.035
615.916	18280.922
616.044	18256.939
616.172	18460.087
616.300	18387.730
616.428	18565.600
616.556	18589.391
616.684	18640.383
616.813	18749.852
616.941	18828.261
617.069	18874.670
617.197	19136.243
617.325	19073.643
617.453	19146.739
617.581	19251.974
617.709	19252.643
617.838	19380.183
617.966	19466.983
618.094	19532.930
618.222	19673.435
618.350	19806.487
618.478	19789.557
618.606	19972.035
618.734	19963.217
618.863	19999.974
618.991	20002.383
619.119	20090.957
619.247	20165.348
619.375	20284.687
619.503	20386.365
619.631	20591.157
619.759	20530.643
619.888	20615.730
620.016	20729.713
620.144	20838.591
620.272	20869.043
620.400	20980.704
620.528	21004.487
620.656	21233.365
620.784	21228.783
620.913	21352.896
621.041	21476.191
621.169	21505.930
621.297	21591.426
621.425	21636.435
621.553	21739.470
621.681	21850.252
621.809	21921.539
621.938	22023.722
622.066	22094.991
622.194	22139.278
622.322	22212.043
622.450	22285.591
622.578	22336.243
622.706	22360.330
622.834	22443.443
622.963	22540.939
623.091	22515.287
623.219	22597.939
623.347	22659.217
623.475	22766.835
623.603	22804.696
623.731	22876.287
623.859	22976.026
623.988	23068.896
624.116	23124.635
624.244	23220.539
624.372	23274.400
624.500	23337.374
624.628	23381.383
624.756	23453.974
624.884	23598.226
625.013	23765.713
625.141	23677.070
625.269	23769.174
625.397	23940.626
625.525	24095.991
625.653	24033.261
625.781	24191.374
625.909	24109.339
626.038	24214.548
626.166	24239.365
626.294	24303.643
626.422	24388.148
626.550	24545.730
626.678	24580.878
626.806	24583.417
626.934	24670.130
627.063	24708.991
627.191	24795.661
627.319	24854.896
627.447	24960.757
627.575	24995.148
627.703	25090.783
627.831	25149.687
627.959	25208.713
628.088	25291.374
628.216	25413.157
628.344	25364.243
628.472	25467.913
628.600	25592.661
628.728	25593.000
628.856	25663.661
628.984	25696.904
629.113	25748.348
629.241	25784.148
629.369	25792.896
629.497	25857.452
629.625	25919.174
629.753	25907.974
629.881	25928.452
630.009	26080.148
630.138	26149.635
630.266	26240.304
630.394	26354.565
630.522	26377.070
630.650	26174.478
630.778	26194.070
630.906	26178.270
631.034	26147.200
631.163	26316.348
631.291	26335.122
631.419	26310.148
631.547	26377.957
631.675	26391.565
631.803	26452.548
631.931	26544.913
632.059	26578.652
632.188	26556.070
632.316	26694.374
632.444	26731.391
632.572	26764.200
632.700	26885.391
632.828	26958.722
632.956	26967.322
633.084	26998.983
633.213	27048.565
633.341	27047.261
633.469	27049.426
633.597	27101.609
633.725	27159.696
633.853	27212.226
633.981	27229.104
634.109	27477.374
634.238	27367.261
634.366	27430.278
634.494	27545.304
634.622	27600.670
634.750	27579.504
634.878	27700.722
635.006	27731.887
635.134	27750.948
635.263	27881.843
635.391	27897.139
635.519	27930.209
635.647	28069.409
635.775	28087.104
635.903	28211.365
636.031	28208.800
636.159	28307.209
636.288	28413.026
636.416	28535.704
636.544	28550.504
636.672	28603.504
636.800	28720.017
636.928	28765.522
637.056	29012.843
637.184	28933.791
637.313	29000.243
637.441	29067.904
637.569	29263.513
637.697	29309.496
637.825	29374.026
